2026-01-21 10:47:54,066 [INFO] Connecting to 149.154.167.91:443/TcpFull...
2026-01-21 10:47:54,252 [INFO] Connection to 149.154.167.91:443/TcpFull complete!
2026-01-21 10:47:55,269 [INFO] Starting full scrape
2026-01-21 10:47:55,271 [INFO] Scraping channel: lobelia4cosmetics
2026-01-21 10:48:26,575 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:27,014 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:27,557 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:28,085 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:28,625 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:29,005 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:29,307 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:29,565 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:30,033 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:30,443 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:30,804 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:30,979 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:31,505 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:31,851 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:32,141 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:32,404 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:33,118 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:33,626 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:34,212 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:34,424 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:34,625 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:34,953 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:35,424 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:35,799 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:36,546 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:36,735 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:37,286 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:38,013 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:38,943 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:39,691 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:39,962 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:40,576 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:40,834 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:41,043 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:41,759 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:42,142 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:42,639 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:42,814 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:42,982 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:43,202 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:43,994 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:44,538 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:44,926 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:45,788 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:46,565 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:47,302 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:47,502 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:48,186 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:48,551 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:48,881 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:49,343 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:49,977 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:50,348 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:51,153 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:51,511 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:52,512 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
